sample_id,training_scope,research_only,no_bet_instruction,label_source,line_source,season,season_type,player_id,player_name,team,opponent,game_id,game_date,home_away,stat,side,line,actual_value,target_hit,source_verified,created_at
PUBLIC-OUTCOME-1630162-0042300232-points-4_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,4.5,27.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-points-7_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,7.5,27.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-points-9_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,9.5,27.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-points-14_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,14.5,27.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-points-19_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,19.5,27.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-points-24_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,24.5,27.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-points-29_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,points,more,29.5,27.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-rebounds-3_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,rebounds,more,3.5,2.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-rebounds-5_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,rebounds,more,5.5,2.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-rebounds-7_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,rebounds,more,7.5,2.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-rebounds-9_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,rebounds,more,9.5,2.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-rebounds-11_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,rebounds,more,11.5,2.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-assists-2_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,assists,more,2.5,7.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-assists-4_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,assists,more,4.5,7.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-assists-6_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,assists,more,6.5,7.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-assists-8_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,assists,more,8.5,7.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-assists-10_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,assists,more,10.5,7.0000,no,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-pra-14_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,pra,more,14.5,36.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-pra-19_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,pra,more,19.5,36.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-pra-24_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,pra,more,24.5,36.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-pra-29_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,pra,more,29.5,36.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-pra-34_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,pra,more,34.5,36.0000,yes,yes,2026-06-14T00:15:42-04:00
PUBLIC-OUTCOME-1630162-0042300232-pra-39_5,public_outcome,yes,,official_box_score,fixed_threshold,2023-24,Playoffs,1630162,Anthony Edwards,MIN,DEN,0042300232,2024-05-06,away,pra,more,39.5,36.0000,no,yes,2026-06-14T00:15:42-04:00
